25时miku,25-ji miku
黑天鹅（崩坏：星穹铁道）,black swan (honkai  star rail)
黑尾土拨鼠（兽娘动物园）,black-tailed prairie dog (kemono friends)
刃（崩坏：星穹铁道）,blade (honkai  star rail)
半狼布莱泽（艾尔登法环）,blaidd the half-wolf
布蕾克·贝拉多娜（RWBY）,blake belladonna
布兰（超次元游戏海王星）,blanc (neptunia)
煌（明日方舟）,blaze (arknights)
布雷兹（索尼克系列）（索尼克）,blaze the cat
瑕光（明日方舟）,blemishine (arknights)
布噜噗（噶呜·古拉宠物）（Hololive）,bloop (gawr gura)
花花（飞天小女警）,blossom (ppg)
布鲁·玛丽（拳皇）,blue mary
青绿（宝可梦）,blue oak
蓝毒（明日方舟）,blue poison (arknights)
蓝毒（潮音韵律）（明日方舟）,blue poison (shoal beat) (arknights)
蓝色玫瑰（老虎和兔子）,blue rose (tiger & bunny)
波雅·汉库克（女帝）- 《海贼王）,boa hancock
博科（少女与战车）,boko (girls und panzer)
獺獭（日本网络迷因角色,bokukawauso
波妮（宝可梦）,bonnie (pokemon)
嘘嘘鬼（超级马力欧）,boo (mario)
胡桃幽灵（原神）,boo tao (genshin impact)
布塔（天元突破）,boota (ttgl)
波提欧（崩坏：星穹铁道）,boothill (honkai  star rail)
博罗斯（欧罗·克罗尼）（Hololive）,boros (ouro kronii)
圆粒金刚石（宝石之国）,bort
瓶装初音（初音未来衍生形象,bottle miku
布狄卡（Fate）,boudica (fate)
酷霸王（库巴）（超级马力欧）,bowser
酷霸姬（库巴姬）（超级马力欧）,bowsette
布拉达曼特（Fate）,bradamante (fate)
布拉达曼特（第一灵基）（Fate）,bradamante (first ascension) (fate)
长尾火狐（宝可梦）,braixen
巴西风初音（初音未来衍生形象,brazilian miku
布雷默顿（碧蓝航线）,bremerton (azur lane)
布雷默顿（功夫 cruiser）（碧蓝航线）,bremerton (kung fu cruiser) (azur lane)
布雷默顿（灼热训练）（碧蓝航线）,bremerton (scorching-hot training) (azur lane)
小悠（宝可梦）,brendan (pokemon)
布莉姬（罪恶装备）,bridget (guilty gear)
布利夫（吊带袜天使）,brief (psg)
迦具土（异度神剑2）,brighid (xenoblade)
布洛妮娅·兰德（崩坏：星穹铁道）,bronya rand
布洛妮娅·扎伊切克（崩坏3rd）,bronya zaychik
布洛妮娅·理之律者（崩坏3rd）,bronya zaychik (herrscher of reason)
布洛妮娅·真理之律者（崩坏3rd）,bronya zaychik (herrscher of truth)
布洛妮娅·银翼（N-EX）（崩坏3rd）,bronya zaychik (silverwing  n-ex)
布鲁克（海贼王）,brook (one piece)
棕熊（兽娘动物园）,brown bear (kemono friends)
布鲁斯·韦恩（DC漫画《蝙蝠侠）,bruce wayne
布鲁诺·布加拉提（JOJO的奇妙冒险）,bruno bucciarati
布伦希尔德（Fate）系列,brynhild (fate)
巴巴（阿梅莉亚·沃森宠物）（Hololive）,bubba (watson amelia)
妙蛙种子（宝可梦）,bulbasaur
布尔玛（龙珠）,bulma
卷卷耳（宝可梦）,buneary
毒岛冴子（学园默示录）,busujima saeko
泡泡（飞天小女警）,buttercup (ppg)
贝蕾丝（女性）（火焰纹章：风花雪月）,byleth (female) (fire emblem)
贝蕾丝（女性夏日版）（火焰纹章：风花雪月）,byleth (female) (summer) (fire emblem)
贝蕾丝（火焰纹章：风花雪月）,byleth (fire emblem)
贝蕾特（男性觉醒）（火焰纹章：风花雪月）,byleth (male) (enlightened) (fire emblem)
贝蕾特（男性）（火焰纹章：风花雪月）,byleth (male) (fire emblem)
C.C.（反叛的鲁路修）,c.c.
开拓者（星穹铁道男主）（崩坏：星穹铁道）,caelus (honkai  star rail)
凯妮丝（Fate）,caenis (fate)
凯撒·安东尼奥·齐贝林（JOJO的奇妙冒险）,caesar anthonio zeppeli
凯撒·金（绝区零）,caesar king (zenless zone zero)
卡嘉莉·尤拉·阿斯哈（机动战士高达SEED）,cagalli yula athha
卡莉奥斯特萝（碧蓝幻想）Cagliostro,cagliostro (granblue fantasy)
凯特琳（宝可梦）,caitlin (pokemon)
卡勒姆（宝可梦）,calem (pokemon)
凯莉（斯普拉遁）,callie (splatoon)
卡尔斯通·莱特·O（赛马娘）,calstone light o (umamusume)
卡米拉（火焰纹章）,camilla (fire emblem)
嘉米·怀特（街头霸王）,cammy white
坎蒂丝（原神）,candace (genshin impact)
卡露蒂（宝可梦）,candice (pokemon)
舰长（兽娘动物园）,captain (kemono friends)
美国队长（漫威漫画）,captain america
猎鹰队长（F-Zero）,captain falcon
尼莫船长（Fate）,captain nemo (fate)
尼莫船长（第一灵基）（Fate）,captain nemo (first ascension) (fate)
狞猫（兽娘动物园）,caracal (kemono friends)
卡莲·奥尔黛西亚（Fate）,caren hortensia
卡莲·奥尔黛西亚（爱之卡莲）（Fate）,caren hortensia (amor caren)
卡洛塔（鸣潮）,carlotta (wuthering waves)
卡门（Project Moon）,carmen (project moon)
卡米拉（Fate）,carmilla (fate)
卡敏（宝可梦）,carmine (pokemon)
红碧玺（明日方舟）,carnelian (arknights)
凯珞·露·露茜（魔法少女奈叶）,caro ru lushe
卡尔帕乔（少女与战车）,carpaccio (girls und panzer)
卡珊德拉·亚历山大（灵魂能力）,cassandra alexandra
卡特莉亚（火焰纹章）,catria (fire emblem)
卡图拉（碧蓝幻想）,catura (granblue fantasy)
塞西莉亚（白圣女与黑牧师）,cecilia (shiro seijo to kuro bokushi)
塞西莉亚·奥尔科特（Infinite Stratos）,cecilia alcott
塞西莉亚·伊梅尔格林（Hololive）,cecilia immergreen
塞西莉亚·伊梅尔格林（第一套服装）（Hololive）,cecilia immergreen (1st costume)
塞蕾丝·雪儿（最终幻想VI）,celes chere
塞蕾丝蒂娅·卢登贝克（弹丸论破）,celestia ludenberg
塞莉卡（火焰纹章）,celica (fire emblem)
瑟琳（火焰纹章）,celine (fire emblem)
珊卓雷雅·夏努斯（魔物娘）,centorea shianus
刻晴（明日方舟）,ceobe (arknights)
刻耳柏洛斯（地狱把妹王）,cerberus (helltaker)
塞蕾丝·法乌娜（Hololive）,ceres fauna
塞蕾丝·法乌娜（第一套服装）（Hololive）,ceres fauna (1st costume)
塞蕾丝·法乌娜（哥特风格）（Hololive）,ceres fauna (goth)
切萨里奥（赛马娘）,cesario (umamusume)
锡兰（明日方舟）,ceylon (arknights)
陈（不老光辉）（明日方舟）,ch'en (ageless afterglow) (arknights)
陈（明日方舟）,ch'en (arknights)
陈·辉洁（明日方舟）,ch'en the holungday (arknights)
茶柱转子（弹丸论破V3）,chabashira tenko
茶茶（Fate）,chacha (fate)
柴卡·特拉邦特（棺姬柴卡）,chaika trabant
汪汪（马里奥系列）,chain chomp
吊灯鬼（宝可梦）,chandelure
香多（Ado）,chando (ado)
长离（鸣潮）,changli (wuthering waves)
长生（原神）,changsheng (genshin impact)
恰帕耶夫（碧蓝航线）,chapayev (azur lane)
夏亚·阿兹纳布尔（机动战士高达）,char aznable
查拉（传说之下）,chara (undertale)
喷火龙（宝可梦）,charizard
夏洛塔（碧蓝幻想）,charlotta (granblue fantasy)
夏洛特（原神）,charlotte (genshin impact)
夏洛特（魔法少女小圆）,charlotte (madoka magica)
夏洛特·奥兰（恶魔城）,charlotte aulin
夏洛特·科黛（Fate系列）,charlotte corday (fate)
夏洛特·迪诺亚（无限斯特拉托斯）,charlotte dunois
夏洛特·E·耶格尔（强袭魔女）,charlotte e. yeager
小火龙（宝可梦）,charmander
橙（东方Project）,chen
橙猫猫（东方Project）,chen (cat)
海圻（碧蓝航线）,chen hai (azur lane)
黑连（宝可梦）,cheren (pokemon)
雪莉亚·巴尼斯（传说系列）,cheria barnes
切莉诺（碧蓝档案）,cherino (blue archive)
慈悲（Project Moon）,chesed (project moon)
柴郡（碧蓝航线）,cheshire (azur lane)
柴郡猫（爱丽丝梦游仙境）,cheshire cat (alice in wonderland)
骑士王（赛马娘）,cheval grand (umamusume)
骑士德翁（Fate）,chevalier d'eon (fate)
谢芙蕾（原神）,chevreuse (genshin impact)
琪琪（龙珠）,chi-chi (dragon ball)
千级鱼雷巡洋舰（舰队Collection）,chi-class torpedo cruiser
千秋（碧蓝档案）,chiaki (blue archive)
初音未来（迷你版）（Vocaloid）,chibi miku
小小兔（美少女战士）,chibi usa
千鸟要（全金属狂潮）,chidori kaname
局长（无期迷途）,chief (path to nowhere)
千惠留（公主连结！Re:Dive）,chieru (princess connect!)
切斯特410（海猫鸣泣之时）,chiester410
切斯特45（海猫鸣泣之时）,chiester45
千早爱音（偶像大师）,chihaya anon
千尋（碧蓝档案）,chihiro (blue archive)
小叽（人形电脑天使心）,chii (chobits)
菊草叶（宝可梦）,chikorita
筑摩（舰队Collection）,chikuma (kancolle)
筑摩改二（舰队Collection）,chikuma kai ni (kancolle)
齐尔查克·蒂姆斯（迷宫饭）,chilchuck tims
风铃铃（宝可梦）,chimecho
中国（黑塔利亚）,china (hetalia)
千夏（蓝色档案）,chinatsu (blue archive)
千织（原神）,chiori (genshin impact)
千世（蓝色档案）,chise (blue archive)
千世（泳装）（蓝色档案）,chise (swimsuit) (blue archive)
千反田爱瑠（冰菓）,chitanda eru
千岁（舰队Collection）,chitose (kancolle)
千代田（舰队Collection）,chiyoda (kancolle)
千代田桃（街角魔族）,chiyoda momo
克洛伊（火焰纹章）,chloe (fire emblem)
克洛伊（宝可梦）,chloe (pokemon)
克洛伊（公主连结！Re:Dive）,chloe (princess connect!)
克洛伊·冯·爱因兹贝伦（Fate/kaleid liner）,chloe von einzbern
克洛伊·冯·爱因兹贝伦（弓兵装填）（Fate/kaleid liner）,chloe von einzbern (archer install)
陆行鸟（最终幻想）,chocobo
巧克拉（猫娘乐园）,chocola (nekopara)
点仔（为美好的世界献上祝福！）,chomusuke
重岳（明日方舟）,chong yue (arknights)
重云（原神）,chongyun (genshin impact)
长鲸（舰队Collection）,chougei (kancolle)
鸟海（舰队Collection）,choukai (kancolle)
鸟海改二（舰队Collection）,choukai kai ni (kancolle)
超绝可爱天使酱,chouzetsusaikawa tenshi-chan
克里斯（为美好的世界献上祝福！）,chris (konosuba)
克里斯·雷德菲尔（生化危机）,chris redfield
克罗姆（火焰纹章）,chrom (fire emblem)
骸雾（家庭教师Hitman Reborn!）,chrome dokuro
丘亚图莉·潘兰奇（水星的魔女）,chuatury panlunch
查克（吊带袜天使）,chuck (psg)
春丽（街头霸王）,chun-li
希耶尔（月姬）,ciel (tsukihime)
辰砂（宝石之国）,cinnabar (houseki no kuni)
肉桂卷（三丽鸥）,cinnamoroll
喀耳刻（Fate）,circe (fate)
琪露诺（东方Project）,cirno
希特菈莉（原神）,citlali (genshin impact)
希特琳（火焰纹章）,citrinne (fire emblem)
克莱尔·雷德菲尔德（生化危机）,claire redfield
克拉拉（崩坏：星穹铁道）,clara (honkai  star rail)
克拉莉丝（碧蓝幻想）,clarisse (granblue fantasy)
克拉克·肯特（DC漫画）,clark kent
克劳德·冯·里根（火焰纹章：风花雪月）,claude von riegan
皮皮（宝可梦）,clefairy
克娄巴特拉（Fate）,cleopatra (fate)
克利夫兰（碧蓝航线）,cleveland (azur lane)
崖心（明日方舟）,cliffheart (arknights)
克洛琳德（原神）,clorinde (genshin impact)
克洛瑟（明日方舟）,closure (arknights)
克劳德·斯特莱夫（最终幻想VII）,cloud strife
小丑皮丝（东方Project）,clownpiece
笨拙修女（Diva）,clumsy nun (diva)
科莱特·布鲁内尔（破晓传说）,colette brunel
柯莱（原神）,collei (genshin impact)
科罗拉多（舰队Collection）,colorado (kancolle)
珂伦比娅（原神）,columbina (genshin impact)
指挥官泰斯特（舰队Collection）,commandant teste (kancolle)
短吻海豚（兽娘动物园）,common dolphin (kemono friends)
浣熊（兽娘动物园）,common raccoon (kemono friends)
康斯坦丝·冯·纽维尔（火焰纹章：风花雪月）,constance von nuvelle
加富尔伯爵（舰队Collection）,conte di cavour (kancolle)
小帕诺里基（赛马娘）,copano rickey (umamusume)
科迪莉亚（火焰纹章）,cordelia (fire emblem)
科琳·威克斯（绝区零）,corin wickes
柯内莉亚·李·布里塔尼亚（反叛的鲁路修）,cornelia li britannia
科林（女）（火焰纹章）,corrin (female) (fire emblem)
科林（男）（火焰纹章）,corrin (male) (fire emblem)
火雁（宝可梦）,courtney (pokemon)
郊狼（兽娘动物园）,coyote (kemono friends)
奶油兔（索尼克系列）,cream the rabbit
船员（Among Us）,crewmate (among us)
可利姆（异种族风俗娘评鉴指南）,crimvael
鳄鱼（海贼王）,crocodile (one piece)
可颂（明日方舟）,croissant (arknights)
库洛那（噬魂师）,crona (soul eater)
乌鸦（La+ Darknesss）（VTuber）,crow (la+ darknesss)
克图格亚（潜行吧！奈亚子）,cthugha (nyaruko-san)
库丘林（Fate）,cu chulainn (fate)
库丘林（Fate/Prototype）,cu chulainn (fate/prototype)
库丘林（Fate/stay night）,cu chulainn (fate/stay night)
水无月香恋（光之美少女）,cure aqua
黑川爱莲（光之美少女）,cure beat
青木丽华（光之美少女）,cure beauty
苍乃美希（光之美少女）,cure berry
花咲蕾（光之美少女）,cure blossom
剑城晶（光之美少女）,cure chocolat
菱川六花（光之美少女）,cure diamond
菱川六花（光之美少女）,cure dream
春野遥（光之美少女）,cure flora
冰川伊绪奈（光之美少女）,cure fortune
花寺和佳（光之美少女）,cure grace
星空幸（光之美少女）,cure happy
相田爱（光之美少女）,cure heart
大森悠子（光之美少女）,cure honey
春日野丽（光之美少女）,cure lemonade
爱乃惠（光之美少女）,cure lovely
琴爪缘（光之美少女）,cure macaron
绿川直（光之美少女）,cure march
来海绘里香（光之美少女）,cure marine
北条响（光之美少女）,cure melody
羽衣拉拉（光之美少女）,cure milky
秋元小町（光之美少女）,cure mint
朝日奈未来（光之美少女）,cure miracle
月影百合（光之美少女）,cure moonlight
调边亚子（光之美少女）,cure muse (yellow)
东刹那（光之美少女）,cure passion
黄濑弥生（光之美少女）,cure peace
桃园爱（光之美少女）,cure peach
山吹祈里（光之美少女）,cure pine
和实由依（光之美少女）,cure precious
白雪姬（光之美少女）,cure princess
虹之丘真白（光之美少女）,cure prism
四叶有栖（光之美少女）,cure rosetta
索拉·哈雷瓦塔尔（光之美少女）,cure sky
日野茜（光之美少女）,cure sunny
明堂院树（光之美少女）,cure sunshine
剑崎真琴（光之美少女）,cure sword
天之川绮罗（光之美少女）,cure twinkle
宇佐美一花（光之美少女）,cure whip
雪城穗乃香（光之美少女）,cure white
犬饲小麦（光之美少女）,cure wonderful
野乃小鸟（光之美少女）,cure yell
卷毛（洞窟物语）,curly brace
真机伶（赛马娘）,curren chan (umamusume)
萌虻（宝可梦）,cutiefly
希安（摇滚乐团!!）,cyan (show by rock!!)
小天鹅（碧蓝航线,cygnet (azur lane)
火球鼠（宝可梦）,cyndaquil
赛诺（原神）,cyno (genshin impact)
竹兰（宝可梦）,cynthia (pokemon)
D.Va（守望先锋）,d.va (overwatch)
大场奈奈（偶像大师 百万现场）,daiba nana
大道寺知世（魔卡少女樱）,daidouji tomoyo
第一红宝石（赛马娘）,daiichi ruby (umamusume)
大拓太阳神（赛马娘）,daitaku helios (umamusume)
大东（舰队Collection）,daitou (kancolle)
大和赤骥（小假期）,daiwa scarlet (trifle vacation) (umamusume)
大和赤骥（赛马娘）,daiwa scarlet (umamusume)
大妖精（东方Project）,daiyousei
达米安·德斯蒙（间谍过家家）,damian desmond
丹恒（崩坏：星穹铁道）,dan heng (honkai  star rail)
丹恒（饮月君）（崩坏：星穹铁道）,dan heng (imbibitor lunae) (honkai  star rail)
舞者（最终幻想）,dancer (final fantasy)
但丁（鬼泣）,dante (devil may cry)
但丁（边狱公司）,dante (limbus company)
断鬃烈焰（赛马娘）,dantsu flame (umamusume)
达努亚（碧蓝幻想）,danua
勇猛策略（赛马娘）,daring tact (umamusume)
大吉岭（少女与战车）,darjeeling (girls und panzer)
黑暗精灵森林游侠（Last Origin）,dark elven forest ranger
黑魔导士（游戏王）,dark magician
黑魔导女孩（游戏王）,dark magician girl
黑暗皮特（任天堂明星大乱斗）,dark pit
暗樱（Fate）,dark sakura
达克妮斯（为美好世界献上祝福！）,darkness (konosuba)
达克莱伊（宝可梦),darkrai
伊达政宗（战国BASARA）,date masamune (sengoku basara)
